,name,date of birth,height,foot,joined,contract until,position
0,Filip Bednarek,"Sep 26, 1992",1.8,right,"Jul 1, 2020","Jun 30, 2025",Goalkeeper
1,Dominik Holec,"Jul 28, 1994",1.9,right,"Jan 3, 2023","Jun 30, 2023",Goalkeeper
2,Artur Rudko,"May 7, 1992",1.9,right,"Jul 2, 2022","Jun 30, 2023",Goalkeeper
3,Antonio Milic,"Mar 10, 1994",1.9,left,"Jan 10, 2021","Jun 30, 2026",Centre-Back
4,Filip Dagerstal,"Feb 1, 1997",1.8,right,"Jul 26, 2022","Jun 30, 2023",Centre-Back
5,Lubomir Satka ,"Dec 2, 1995",1.8,right,"Jul 19, 2019","Jun 30, 2023", Centre-Back
6,Bartosz Salamon,"May 1, 1991",1.9,right,"Jan 9, 2021","Jun 30, 2024",Centre-Back
7,Michał Gurgul,"Jan 30, 2006",,left,"Jan 24, 2023","Jun 30, 2024",Centre-Back
8,Pedro Rebocho,"Jan 23, 1995",1.7,left,"Aug 23, 2021","Jun 30, 2023",Left-Back
9,Barry Douglas,"Sep 4, 1989",1.7,left,"Jul 10, 2021","Jun 30, 2023",Left-Back
10,Joel Pereira,"Sep 28, 1996",1.7,right,"Jul 1, 2021","Jun 30, 2025",Right-Back
11,Mateusz Zukowski,"Nov 23, 2001",1.8,right,"Aug 30, 2022","Jun 30, 2023",Right-Back
12,Alan Czerwinski,"Feb 2, 1993",1.8,right,"Aug 1, 2020","Jun 30, 2025",Right-Back
13,Jesper Karlström,"Jun 21, 1995",1.8,right,"Jan 1, 2021","Jun 30, 2026",Defensive Midfield
14,Nika Kvekveskiri,"May 29, 1992",1.8,right,"Jan 29, 2021","Jun 30, 2025",Defensive Midfield
15,Radoslaw Murawski,"Apr 22, 1994",1.7,right,"Jul 1, 2021","Jun 30, 2024",Central Midfield
16,Afonso Sousa,"May 3, 2000",1.7,right,"Jul 1, 2022","Jun 30, 2026",Attacking Midfield
17,João Amaral,"Sep 7, 1991",1.7,both,"Jul 21, 2018","Jun 30, 2024",Attacking Midfield
18,Filip Marchwinski,"Jan 10, 2002",1.8,both,"Dec 12, 2018","Jun 30, 2024",Attacking Midfield
19,Maksym Czekala,"Mar 5, 2004",1.8,left,"May 13, 2022","Dec 31, 2023",Attacking Midfield
20,Michal Skoras,"Feb 15, 2000",1.7,right,"Jul 1, 2019","Jun 30, 2026",Left Winger
21,Kristoffer Velde,"Sep 9, 1999",1.7,right,"Jan 12, 2022","Dec 31, 2025",Left Winger
22,Jakub Antczak,"Apr 29, 2004",1.6,right,"Feb 1, 2022","Jun 30, 2024",Left Winger
23,Georgiy Tsitaishvili,"Nov 18, 2000",1.7,left,"Jul 1, 2022","Jun 30, 2023",Right Winger
24,Adriel Ba Loua,"Jul 25, 1996",1.7,left,"Aug 27, 2021","Jun 30, 2025",Right Winger
25,Mikael Ishak,"Mar 31, 1993",1.8,both,"Jul 20, 2020","Jun 30, 2025",Centre-Forward
26,Filip Szymczak,"May 6, 2002",1.8,both,"May 1, 2019","Jun 30, 2025",Centre-Forward
27,Artur Sobiech,"Jun 12, 1990",1.8,right,"Jul 1, 2021","Jun 30, 2023",Centre-Forward
28,Norbert Paclawski,"Feb 19, 2004",1.8,right,"Jan 27, 2021","Jun 30, 2023",Centre-Forward
29,Vladan Kovacevic,"Apr 11, 1998",,right,"Jul 1, 2021","Jun 30, 2026",Goalkeeper
30,Kacper Trelowski,"Aug 19, 2003",1.9,both,"Aug 23, 2019","Jun 30, 2025",Goalkeeper
31,Jakub Rajczykowski,"Feb 4, 2005",, ,"Jul 21, 2022","Jun 30, 2025",Goalkeeper
32,Stratos Svarnas,"Nov 11, 1997",1.8,right,"Jul 1, 2022","Jun 30, 2023",Centre-Back
33,Zoran Arsenic,"Jun 2, 1994",1.8,right,"Jul 1, 2021","Jun 30, 2026",Centre-Back
34,Adrian Gryszkiewicz,"Dec 13, 1999",1.8,left,"Jan 10, 2023","Jun 30, 2026",Centre-Back
35,Bogdan Racovitan,"Jun 6, 2000",1.8, ,"Jan 27, 2022","Jun 30, 2025",Centre-Back
