"team_name","league","country","player_name","player_url","player_pos","player_age","nationality","in_squad","appearances","goals","minutes_played"
"Rakow Czestochowa","PKO Ekstraklasa","Poland","Vladan Kovacevic","https://www.transfermarkt.com/vladan-kovacevic/profil/spieler/429070","Goalkeeper",24,"Bosnia-Herzegovina",23,21,0,1920
"Rakow Czestochowa","PKO Ekstraklasa","Poland","Kacper Trelowski","https://www.transfermarkt.com/kacper-trelowski/profil/spieler/720120","Goalkeeper",19,"Poland",28,8,0,720
"Rakow Czestochowa","PKO Ekstraklasa","Poland","Xavier Dziekonski","https://www.transfermarkt.com/xavier-dziekonski/profil/spieler/699400","Goalkeeper",19,"Poland",4,0,0,0
"Rakow Czestochowa","PKO Ekstraklasa","Poland","Jakub Rajczykowski","https://www.transfermarkt.com/jakub-rajczykowski/profil/spieler/925636","Goalkeeper",18,"Poland",8,0,0,0
"Rakow Czestochowa","PKO Ekstraklasa","Poland","Stratos Svarnas","https://www.transfermarkt.com/stratos-svarnas/profil/spieler/318257","Centre-Back",25,"Greece",29,24,3,2182
"Rakow Czestochowa","PKO Ekstraklasa","Poland","Zoran Arsenic","https://www.transfermarkt.com/zoran-arsenic/profil/spieler/280312","Centre-Back",28,"Croatia",28,28,0,2433
"Rakow Czestochowa","PKO Ekstraklasa","Poland","Adrian Gryszkiewicz","https://www.transfermarkt.com/adrian-gryszkiewicz/profil/spieler/388944","Centre-Back",23,"Poland",3,0,0,0
"Rakow Czestochowa","PKO Ekstraklasa","Poland","Bogdan Racovitan","https://www.transfermarkt.com/bogdan-racovitan/profil/spieler/804134","Centre-Back",22,"Romania",20,10,1,671
"Rakow Czestochowa","PKO Ekstraklasa","Poland","Tomas Petrasek","https://www.transfermarkt.com/tomas-petrasek/profil/spieler/333261","Centre-Back",30,"Czech Republic",10,8,0,409
"Rakow Czestochowa","PKO Ekstraklasa","Poland","Milan Rundic","https://www.transfermarkt.com/milan-rundic/profil/spieler/182185","Centre-Back",30,"Serbia",24,18,0,1479
