Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,MP
Zoran Arsenić,hr CRO,DF,28-259,19.0,18,1594.0,17.7,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,,,,0.0,0.06,0.06,0.0,0.06,Matches,
Vladan Kovačević,ba BIH,GK,24-311,17.0,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Stratos Svarnas,gr GRE,DF,25-097,17.0,17,1530.0,17.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,,,,0.18,0.18,0.35,0.18,0.35,Matches,
Patryk Kun,pl POL,MF,27-302,18.0,17,1514.0,16.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,,,,0.12,0.06,0.18,0.12,0.18,Matches,
Giannis Papanikolaou,gr GRE,MF,24-090,19.0,17,1433.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Ivi,es ESP,"MF,FW",28-232,19.0,16,1356.0,15.1,5.0,4.0,9.0,2.0,3.0,3.0,3.0,0.0,,,,0.33,0.27,0.6,0.13,0.4,Matches,
Fran Tudor,hr CRO,"MF,DF",27-142,17.0,15,1275.0,14.2,1.0,5.0,6.0,1.0,0.0,0.0,5.0,1.0,,,,0.07,0.35,0.42,0.07,0.42,Matches,
Vladyslav Kocherhin,ua UKR,MF,26-292,20.0,14,1283.0,14.3,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,,,,0.21,0.0,0.21,0.21,0.21,Matches,
Bartosz Nowak,pl POL,"MF,FW",29-175,17.0,13,987.0,11.0,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,,,,0.55,0.27,0.82,0.55,0.82,Matches,
Fabian Piasecki,pl POL,FW,27-288,17.0,11,866.0,9.6,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,,,,0.52,0.21,0.73,0.52,0.73,Matches,
Vladislavs Gutkovskis,lv LVA,FW,27-320,18.0,10,928.0,10.3,5.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,,,,0.48,0.1,0.58,0.39,0.48,Matches,
Milan Rundić,rs SRB,DF,30-324,11.0,9,821.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Deian Sorescu,ro ROU,MF,25-171,11.0,8,690.0,7.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,,,,0.26,0.0,0.26,0.26,0.26,Matches,
Bogdan Racovitan,fr FRA,DF,22-255,7.0,7,525.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Mateusz Wdowiak,pl POL,MF,26-172,16.0,6,757.0,8.4,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,,,,0.36,0.24,0.59,0.36,0.59,Matches,
Szymon Czyż,pl POL,MF,21-223,6.0,5,413.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.22,0.22,0.0,0.22,Matches,
