"player_name","name_in_home_country","date_of_birth","place_of_birth","age","height","citizenship","position","foot","player_agent","current_club","joined","contract_expires","date_of_last_contract_extension","outfitter","instagram","player_valuation","max_player_valuation","max_player_valuation_date","URL","contract_option","na","on_loan_from","contract_there_expires","twitter","facebook","x2nd_club","full_name","website","x3nd_club","date_of_death"
"Vladan Kovacevic","Vladan Kova�evi�","1998-04-11","Banja Luka","24",1.92,"Bosnia-Herzegovina Serbia","Goalkeeper","right","firsteleven ISM","Rakow Czestochowa","2021-07-01","2026-06-30","2022-07-07","Uhlsport","http://www.instagram.com/vladan.13s/",5e+06,5e+06,"2022-09-29","https://www.transfermarkt.com/vladan-kovacevic/profil/spieler/429070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kacper Trelowski","Kacper Trelowski","2003-08-19","Cz�stochowa","19",1.93,"Poland","Goalkeeper","both","INNfootball","Rakow Czestochowa","2019-08-23","2025-06-30","2022-02-15","adidas",NA,NA,NA,"2021-12-31","https://www.transfermarkt.com/kacper-trelowski/profil/spieler/720120","Option for a further year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xavier Dziekonski","Xavier Dzieko�ski","2003-10-06","Grajewo","19",1.88,"Poland","Goalkeeper","right","BMG-SPORT","Garbarnia Krakow","2023-01-17","2023-06-30",NA,"Nike",NA,NA,1500000,"2021-05-21","https://www.transfermarkt.com/xavier-dziekonski/profil/spieler/699400",NA,NA,"Rakow Czestochowa","Jun 30, 2025",NA,NA,NA,NA,NA,NA,NA
"Jakub Rajczykowski",NA,"2005-02-04",NA,"18",NA,"Poland","Goalkeeper",NA,"KFM","Rakow Czestochowa","2022-07-21","2025-06-30",NA,NA,NA,NA,NA,"2022-09-29","https://www.transfermarkt.com/jakub-rajczykowski/profil/spieler/925636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stratos Svarnas","<U+03A3><U+03C4><U+03C1><U+03AC><U+03C4><U+03BF><U+03C2> <U+03A3>�<U+03AC><U+03C1><U+03BD><U+03B1><U+03C2>","1997-11-11","Athen","25",1.86,"Greece","Defender - Centre-Back","right","P&P Sport Management S.A.M.","Rakow Czestochowa","2022-07-01","2023-06-30",NA,NA,NA,2e+06,2e+06,"2022-11-16","https://www.transfermarkt.com/stratos-svarnas/profil/spieler/318257","Option to buy",NA,"AEK Athens","Jun 30, 2025",NA,NA,NA,NA,NA,NA,NA
"Zoran Arsenic","Zoran Arseni�","1994-06-02","Osijek","28",1.88,"Croatia","Defender - Centre-Back","right","HBR Sport","Rakow Czestochowa","2021-07-01","2026-06-30",NA,NA,NA,1500000,1500000,"2022-11-16","https://www.transfermarkt.com/zoran-arsenic/profil/spieler/280312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian Gryszkiewicz",NA,"1999-12-13","Bytom","23",1.85,"Poland","Defender - Centre-Back","left","BMG-SPORT","Rakow Czestochowa","2023-01-10","2026-06-30",NA,NA,NA,NA,1200000,"2022-06-14","https://www.transfermarkt.com/adrian-gryszkiewicz/profil/spieler/388944","Option for a further year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bogdan Racovitan","Bogdan Racovi<U+021B>an","2000-06-06","Dijon","22",1.87,"Romania France","Defender - Centre-Back",NA,"11WINS","Rakow Czestochowa","2022-01-27","2025-06-30",NA,"adidas",NA,NA,NA,"2022-09-29","https://www.transfermarkt.com/bogdan-racovitan/profil/spieler/804134","Option for a further year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tomas Petrasek","Tom� Petr�ek","1992-03-02","Rychnov nad Kn�nou","30",1.99,"Czech Republic","Defender - Centre-Back","right","INNfootball","Rakow Czestochowa","2016-07-01","2023-06-30","2020-09-15",NA,NA,NA,1e+06,"2021-01-19","https://www.transfermarkt.com/tomas-petrasek/profil/spieler/333261","Contract until end of season",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milan Rundic","<U+041C><U+0438><U+043B><U+0430><U+043D> <U+0420><U+0443><U+043D><U+0434><U+0438><U+045B>","1992-03-29","Belgrad","30",1.88,"Serbia","Defender - Centre-Back","left","Kas-Consulting d.o.o","Rakow Czestochowa","2021-07-01","2023-06-30",NA,NA,NA,NA,NA,"2022-06-14","https://www.transfermarkt.com/milan-rundic/profil/spieler/182185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
